t,meas_left,meas_right
1753187021.6404414,-0.017453292519943295,-0.017453292519943295
1753187021.7287412,-0.017453292519943295,-0.03490658503988659
1753187021.8408358,-0.017453292519943295,-0.03490658503988659
1753187021.8550162,-0.017453292519943295,-0.017453292519943295
1753187021.9800763,-0.03490658503988659,-0.05235987755982989
1753187022.0431516,-0.03490658503988659,-0.05235987755982989
1753187022.1054742,-0.06981317007977318,-0.06981317007977318
1753187022.2318285,-0.08726646259971647,-0.08726646259971647
1753187022.2430608,-0.08726646259971647,-0.08726646259971647
1753187022.3588822,-0.10471975511965978,-0.12217304763960307
1753187022.4466836,-0.10471975511965978,-0.12217304763960307
1753187022.4845169,-0.13962634015954636,-0.13962634015954636
1753187022.6103733,-0.15707963267948966,-0.17453292519943295
1753187022.6494648,-0.15707963267948966,-0.17453292519943295
1753187022.7363179,-0.19198621771937624,-0.17453292519943295
1753187022.8533156,-0.19198621771937624,-0.17453292519943295
1753187022.8640504,-0.22689280275926285,-0.20943951023931956
1753187022.9896994,-0.24434609527920614,-0.20943951023931956
1753187023.0564682,-0.24434609527920614,-0.20943951023931956
1753187023.1153977,-0.2617993877991494,-0.24434609527920614
1753187023.2411811,-0.29670597283903605,-0.2792526803190927
1753187023.2594602,-0.29670597283903605,-0.2792526803190927
1753187023.3688035,-0.3141592653589793,-0.2792526803190927
1753187023.4630601,-0.3141592653589793,-0.2792526803190927
1753187023.4943562,-0.3490658503988659,-0.3141592653589793
1753187023.6199172,-0.3839724354387525,-0.33161255787892263
1753187023.6662354,-0.3839724354387525,-0.33161255787892263
1753187023.7462838,-0.3839724354387525,-0.3490658503988659
1753187023.8654656,-0.3839724354387525,-0.3490658503988659
1753187023.8742821,-0.4363323129985824,-0.3839724354387525
1753187023.9989767,-0.4363323129985824,-0.4014257279586958
1753187024.0687916,-0.4363323129985824,-0.4014257279586958
1753187024.1254604,-0.47123889803846897,-0.4188790204786391
1753187024.2514133,-0.5061454830783556,-0.4188790204786391
1753187024.2686458,-0.5061454830783556,-0.4188790204786391
1753187024.3780234,-0.5235987755982988,-0.4188790204786391
1753187024.4722388,-0.5235987755982988,-0.4188790204786391
1753187024.5032604,-0.5410520681182421,-0.4363323129985824
1753187024.6306338,-0.5585053606381855,-0.4188790204786391
1753187024.6716661,-0.5585053606381855,-0.4188790204786391
1753187024.7560241,-0.5410520681182421,-0.4363323129985824
1753187024.8748243,-0.5410520681182421,-0.4363323129985824
1753187024.881668,-0.5410520681182421,-0.4188790204786391
1753187025.0083115,-0.5410520681182421,-0.4363323129985824
1753187025.074068,-0.5410520681182421,-0.4363323129985824
1753187025.1339025,-0.5410520681182421,-0.4363323129985824
1753187025.2589731,-0.5410520681182421,-0.4188790204786391
1753187025.2751687,-0.5410520681182421,-0.4188790204786391
1753187025.3845003,-0.5410520681182421,-0.4363323129985824
1753187025.4785156,-0.5410520681182421,-0.4363323129985824
1753187025.511263,-0.5410520681182421,-0.4363323129985824
1753187025.637166,-0.5410520681182421,-0.4363323129985824
1753187025.6784904,-0.5410520681182421,-0.4363323129985824
1753187025.7619672,-0.5410520681182421,-0.4363323129985824
1753187025.8809216,-0.5410520681182421,-0.4363323129985824
1753187025.8880653,-0.5410520681182421,-0.4363323129985824
1753187026.0145063,-0.5585053606381855,-0.4188790204786391
1753187026.083186,-0.5585053606381855,-0.4188790204786391
1753187026.1398928,-0.5410520681182421,-0.4188790204786391
1753187026.2653072,-0.5410520681182421,-0.4363323129985824
1753187026.2862442,-0.5410520681182421,-0.4363323129985824
1753187026.39046,-0.5410520681182421,-0.4363323129985824
1753187026.4880252,-0.5410520681182421,-0.4363323129985824
1753187026.5173047,-0.5410520681182421,-0.4188790204786391
1753187026.6430404,-0.5410520681182421,-0.4188790204786391
1753187026.6907134,-0.5410520681182421,-0.4188790204786391
1753187026.7679746,-0.5410520681182421,-0.4188790204786391
1753187026.8927047,-0.5410520681182421,-0.4188790204786391
1753187026.8962224,-0.5410520681182421,-0.4188790204786391
1753187027.0224476,-0.5235987755982988,-0.4014257279586958
1753187027.0942805,-0.5235987755982988,-0.4014257279586958
1753187027.1472733,-0.4886921905584123,-0.3839724354387525
1753187027.2723925,-0.47123889803846897,-0.3490658503988659
1753187027.2972136,-0.47123889803846897,-0.3490658503988659
1753187027.3983471,-0.4363323129985824,-0.33161255787892263
1753187027.4988542,-0.4363323129985824,-0.33161255787892263
1753187027.5241313,-0.4188790204786391,-0.33161255787892263
1753187027.6496851,-0.4014257279586958,-0.2792526803190927
1753187027.7009957,-0.4014257279586958,-0.2792526803190927
1753187027.7746933,-0.3665191429188092,-0.2617993877991494
1753187027.902323,-0.3665191429188092,-0.2617993877991494
1753187027.9023416,-0.3490658503988659,-0.22689280275926285
1753187028.0294373,-0.3141592653589793,-0.20943951023931956
1753187028.104972,-0.3141592653589793,-0.20943951023931956
1753187028.1550176,-0.29670597283903605,-0.19198621771937624
1753187028.2829165,-0.2792526803190927,-0.17453292519943295
1753187028.3071496,-0.2792526803190927,-0.17453292519943295
1753187028.4113958,-0.24434609527920614,-0.13962634015954636
1753187028.508869,-0.24434609527920614,-0.13962634015954636
1753187028.5381408,-0.22689280275926285,-0.10471975511965978
1753187028.666543,-0.20943951023931956,-0.10471975511965978
1753187028.7104251,-0.20943951023931956,-0.10471975511965978
1753187028.794442,-0.17453292519943295,-0.06981317007977318
1753187028.9129655,-0.17453292519943295,-0.06981317007977318
1753187028.9199538,-0.15707963267948966,-0.05235987755982989
1753187029.0464578,-0.12217304763960307,-0.017453292519943295
1753187029.1146948,-0.12217304763960307,-0.017453292519943295
1753187029.171276,-0.10471975511965978,-0.03490658503988659
1753187029.2963393,-0.08726646259971647,-0.03490658503988659
1753187029.316812,-0.08726646259971647,-0.03490658503988659
1753187029.4214935,-0.06981317007977318,-0.017453292519943295
1753187029.5189958,-0.06981317007977318,-0.017453292519943295
